Object full path in v4, Object full path in v5
pymodaq.control_modules.mocks.ModulesManagerMock, didnt move
pymodaq.control_modules.mocks.ScanSaver, didnt move
pymodaq.control_modules.mocks.saving, pymodaq_gui.h5modules.saving.saving
pymodaq.control_modules.move_utility_classes.BaseEnum, pymodaq_utils.enums.BaseEnum
pymodaq.control_modules.move_utility_classes.DAQ_Move_TCP_server, didnt move
pymodaq.control_modules.move_utility_classes.DeSerializer, didnt move
pymodaq.control_modules.move_utility_classes.MOVE_COMMANDS, didnt move
pymodaq.control_modules.move_utility_classes.OffsetUnitCalculusError, didnt move
pymodaq.control_modules.move_utility_classes.Serializer, didnt move
pymodaq.control_modules.move_utility_classes.Socket, didnt move
pymodaq.control_modules.move_utility_classes.TCPServer, didnt move
pymodaq.control_modules.move_utility_classes.TYPE_CHECKING, didnt move
pymodaq.control_modules.move_utility_classes.comon_parameters, didnt move
pymodaq.control_modules.move_utility_classes.comon_parameters_fun, didnt move
pymodaq.control_modules.move_utility_classes.configmod, pymodaq_utils.config.configmod
pymodaq.control_modules.move_utility_classes.find_keys_from_val, pymodaq_utils.utils.find_keys_from_val
pymodaq.control_modules.move_utility_classes.getLineInfo, pymodaq_utils.utils.getLineInfo
pymodaq.control_modules.move_utility_classes.params, didnt move
pymodaq.control_modules.move_utility_classes.perf_counter, didnt move
pymodaq.control_modules.move_utility_classes.tcp_parameters, didnt move
pymodaq.control_modules.utils.ActorListener, didnt move
pymodaq.control_modules.utils.ControlModule, didnt move
pymodaq.control_modules.utils.DAQ_TYPES, didnt move
pymodaq.control_modules.utils.LECOCommands, didnt move
pymodaq.control_modules.utils.ParameterManager, pymodaq_gui.managers.parameter_manager.ParameterManager
pymodaq.control_modules.utils.TCPClient, didnt move
pymodaq.control_modules.utils.ViewerError, pymodaq_gui.plotting.data_viewers.base.ViewerError
pymodaq.control_modules.utils.find_dict_in_list_from_key_val, pymodaq_utils.utils.find_dict_in_list_from_key_val
pymodaq.control_modules.utils.get_base_logger, pymodaq_utils.logger.get_base_logger
pymodaq.control_modules.utils.get_plugins, didnt move
pymodaq.control_modules.viewer_utility_classes.DAQ_Viewer_TCP_server, didnt move
pymodaq.control_modules.viewer_utility_classes.calibs, didnt move
pymodaq.control_modules.viewer_utility_classes.gauss1D, pymodaq_utils.math_utils.gauss1D
pymodaq.control_modules.viewer_utility_classes.gauss2D, pymodaq_utils.math_utils.gauss2D
pymodaq.control_modules.viewer_utility_classes.get_param_from_name, pymodaq_gui.parameter.utils.get_param_from_name
pymodaq.control_modules.viewer_utility_classes.get_param_path, pymodaq_gui.parameter.utils.get_param_path
pymodaq.control_modules.viewer_utility_classes.iter_children, pymodaq_gui.parameter.utils.iter_children
pymodaq.dashboard.DashBoard, didnt move
pymodaq.dashboard.MasterSlaveError, didnt move
pymodaq.dashboard.ModulesManager, didnt move
pymodaq.dashboard.OvershootManager, didnt move
pymodaq.dashboard.PIDController, didnt move
pymodaq.dashboard.PIDError, didnt move
pymodaq.dashboard.ParameterTree, pymodaq_gui.parameter.ParameterTree
pymodaq.dashboard.PluginManager, didnt move
pymodaq.dashboard.PresetManager, didnt move
pymodaq.dashboard.ROISaver, pymodaq_gui.managers.roi_manager.ROISaver
pymodaq.dashboard.RemoteManager, didnt move
pymodaq.dashboard.extensions, didnt move
pymodaq.dashboard.extmod, didnt move
pymodaq.dashboard.get_instrument_plugins, didnt move
pymodaq.dashboard.get_pypi_pymodaq, didnt move
pymodaq.dashboard.get_version, pymodaq_utils.utils.get_version
pymodaq.dashboard.layout_mod, didnt move
pymodaq.dashboard.layout_path, didnt move
pymodaq.dashboard.log_path, didnt move
pymodaq.dashboard.messagebox, pymodaq_gui.messenger.messagebox
pymodaq.dashboard.now, didnt move
pymodaq.dashboard.overshoot_path, didnt move
pymodaq.dashboard.preset_path, didnt move
pymodaq.dashboard.remote_path, didnt move
pymodaq.dashboard.start_coordinator, didnt move
pymodaq.dashboard.start_qapplication, pymodaq_gui.utils.utils.start_qapplication
pymodaq.dashboard.subprocess, didnt move
pymodaq.examples.custom_app, pymodaq_gui.utils.custom_app.custom_app
pymodaq.examples.custom_viewer, pymodaq_gui.examples.custom_viewer.custom_viewer
pymodaq.examples.nonlinearscanner, didnt move
pymodaq.examples.parameter_ex, pymodaq_gui.examples.parameter_ex.parameter_ex
pymodaq.examples.qt_less_standalone_module, didnt move
pymodaq.examples.tcp_client, didnt move
pymodaq.examples.custom_app.CustomAppExample, didnt move
pymodaq.examples.custom_app.DataToExportSaver, pymodaq_data.h5modules.data_saving.DataToExportSaver
pymodaq.examples.custom_app.H5Browser, pymodaq_gui.h5modules.browsing.H5Browser
pymodaq.examples.custom_app.QDate, didnt move
pymodaq.examples.custom_app.Viewer0D, pymodaq_gui.plotting.data_viewers.viewer0D.Viewer0D
pymodaq.examples.custom_viewer.SpinBoxDelegate, pymodaq_gui.utils.widgets.table.SpinBoxDelegate
pymodaq.examples.custom_viewer.TableModelTabular, pymodaq.utils.scanner.scanners.tabular.TableModelTabular
pymodaq.examples.custom_viewer.TableViewCustom, pymodaq_gui.parameter.pymodaq_ptypes.tableview.TableViewCustom
pymodaq.examples.custom_viewer.Viewer2D, pymodaq_gui.plotting.data_viewers.viewer2D.Viewer2D
pymodaq.examples.custom_viewer.ViewerPointList, pymodaq_gui.examples.custom_viewer.ViewerPointList
pymodaq.examples.custom_viewer.get_widget_from_tree, pymodaq_gui.parameter.utils.get_widget_from_tree
pymodaq.examples.custom_viewer.gutils, pymodaq.utils.gui_utils.gutils
pymodaq.examples.nonlinearscanner.NonLinearScanner, didnt move
pymodaq.examples.nonlinearscanner.get_set_preset_path, didnt move
pymodaq.examples.parameter_ex.ParameterEx, pymodaq_gui.examples.parameter_ex.ParameterEx
pymodaq.examples.parameter_ex.pymodaq, didnt move
pymodaq.examples.qt_less_standalone_module.Listener, didnt move
pymodaq.examples.qt_less_standalone_module.QtLessModule, didnt move
pymodaq.examples.qt_less_standalone_module.sleep, didnt move
pymodaq.examples.tcp_client.TCPClientTemplate, didnt move
pymodaq.extensions.BayesianModelDefault, didnt move
pymodaq.extensions.BayesianModelGeneric, didnt move
pymodaq.extensions.BayesianOptimisation, didnt move
pymodaq.extensions.DAQScan, didnt move
pymodaq.extensions.DAQ_Logger, didnt move
pymodaq.extensions.DAQ_PID, didnt move
pymodaq.extensions.QtConsole, didnt move
pymodaq.extensions.bayesian, didnt move
pymodaq.extensions.console, didnt move
pymodaq.extensions.daq_logger, didnt move
pymodaq.extensions.daq_scan, didnt move
pymodaq.extensions.daq_scan_ui, didnt move
pymodaq.extensions.get_extensions, didnt move
pymodaq.extensions.get_models, didnt move
pymodaq.extensions.h5browser, didnt move
pymodaq.extensions.pid, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.BayesianAlgorithm, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.BayesianConfig, didnt move
